1,2,1284,90
1,3,865,60
1,4,489,40
1,6,612,55
1,7,450,45
1,8,980,85
1,9,1668,118
2,1,1250,90
2,3,415,45
2,6,1199,52
2,8,1980,140
2,9,2605,180
3,1,880,65
3,4,369,40
3,5,595,42
3,6,686,60
3,9,2120,150
4,1,505,42
4,3,375,40
4,5,351,38
5,2,1290,88
5,3,590,40
5,4,352,37
5,6,385,40
5,8,938,68
5,9,1573,108
6,1,608,55
6,2,1210,55
6,3,670,58
6,4,318,40
6,8,1080,48
6,9,1645,112
7,3,1026,90
7,5,479,37
7,9,1172,88
8,1,1000,85
8,3,1525,108
8,5,918,65
8,6,1064,45
8,7,521,39
8,9,666,57
9,1,1670,118
9,2,2589,177
9,3,2160,152
9,6,1666,115
9,7,1180,88
9,8,665,57
